transferor_loan_number,fnma_loan_number,min,mers_eligible,remittance_type,upb,scheduled_upb,next_due_date,note_rate_pct,pi_payment,escrow_payment,maturity_date,original_term_months,original_upb,instrument_date,origination_date,first_payment_date,interest_method,amortization,arm_index,arm_margin_bps,arm_initial_cap_bps,arm_periodic_cap_bps,arm_lifetime_cap_bps,arm_lookback_days,arm_next_change_date,escrowed,escrow_balance,late_charge_pct,late_charge_grace_days,deferred_principal,forborne_principal,nib_separated,bk_active,fc_active,lm_in_process,scra_active,scra_rate_cap_reason,borrower_name,borrower_tin,borrower_phone,borrower_email,borrower_language,coborrower_name,property_address1,property_city,property_state,property_zip,occupancy,custodian,custody_certification_status,enote_evault_ref,tax_parcel_verified,hazard_policy_expires,mi_flag,mi_certificate_number,flood_determination_life_of_loan,sii_present,sii_complete,unapplied_funds,fair_lending_present,acp_enrolled,fees_advances,fees_itemized,corporate_advances,late_charges_due,mers_investor_is_fnma,last_principal_applied
TR-0000001,4100000007,100045600000000010,Y,A/A,334084.09,,2026-09-01,3.750,4778.94,948.50,2033-03-01,180,657150.00,2018-02-03,2018-02-03,2018-04-01,30_360,fixed,,,,,,,,Y,950.04,4,15,0.00,0.00,Y,N,N,N,N,,Grace Kim,000-67-8422,+18555557678,grace.kim1@example.test,en,Jennifer Kim,8094 Prairie Dr,Tucson,AZ,85701,owner_occupied,Bank Custodian NA,certified,,Y,2026-11-20,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000002,4100000014,100045600000000028,Y,A/A,110102.70,,2026-09-01,4.125,614.29,417.75,2049-11-01,360,126750.00,2019-10-04,2019-10-04,2019-12-01,30_360,fixed,,,,,,,,Y,1295.01,5,15,0.00,0.00,Y,N,N,N,N,,Maria Reyes,000-10-3837,+18665553716,maria.reyes2@example.test,es,Linda Reyes,4996 Sunset Blvd,Phoenix,AZ,85004,owner_occupied,Bank Custodian NA,certified,,Y,2026-12-18,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000003,4100000021,100045600000000036,Y,A/A,604406.87,,2026-09-01,3.125,2880.40,749.42,2051-12-01,360,672400.00,2021-11-24,2021-11-24,2022-01-01,30_360,fixed,,,,,,,,Y,816.27,5,15,0.00,0.00,Y,N,N,N,N,,Samuel Brown,000-93-3458,,,es,Aisha Brown,6290 Prairie Dr,Columbus,OH,43215,owner_occupied,Bank Custodian NA,certified,,Y,2027-02-20,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000004,4100000028,100045600000000044,Y,A/A,762354.88,,2026-09-01,3.750,4265.99,2373.83,2048-06-01,360,921150.00,2018-05-17,2018-05-17,2018-07-01,30_360,fixed,,,,,,,,Y,11919.25,4,15,0.00,0.00,Y,N,N,N,N,,Priya Wilson,000-20-1558,+13245555076,,en,Grace Wilson,3258 Oak St,San Antonio,TX,78205,owner_occupied,Bank Custodian NA,certified,,Y,2027-08-16,Y,MI-643338,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000005,4100000035,,Y,A/A,510650.59,,2026-09-01,4.875,3286.91,1186.50,2047-02-01,360,621100.00,2017-01-16,2017-01-16,2017-03-01,30_360,fixed,,,,,,,,Y,4749.45,4,15,0.00,0.00,Y,N,N,N,N,,Carlos Ali,000-55-9735,+14415551871,carlos.ali5@example.test,en,Marcus Ali,3555 Meadow Ln,Orlando,FL,32801,owner_occupied,Bank Custodian NA,certified,,Y,2027-03-18,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,,1212.39
TR-0000006,4100000042,,Y,A/A,63213.07,,2026-09-01,4.125,1550.49,757.17,2030-04-01,180,207850.00,2015-03-06,2015-03-06,2015-05-01,30_360,fixed,,,,,,,,Y,1557.47,5,15,0.00,0.00,Y,N,N,N,N,,Grace Thomas,000-65-9999,+12215553214,grace.thomas6@example.test,en,,333 Pine St,Naperville,IL,60540,owner_occupied,Bank Custodian NA,certified,,Y,2027-03-12,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,,
TR-0000007,4100000049,100045600000000077,Y,A/A,447319.67,,2026-09-01,4.000,2646.79,1750.58,2047-05-01,360,554400.00,2017-04-22,2017-04-22,2017-06-01,30_360,fixed,,,,,,,,Y,1772.93,4,15,0.00,0.00,Y,N,N,N,N,,Sofia Jackson,000-60-5559,+16045559330,sofia.jackson7@example.test,es,,6711 Prairie Dr,Peoria,IL,61602,owner_occupied,Bank Custodian NA,certified,,Y,2027-04-21,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000008,4100000056,100045600000000085,Y,A/A,96719.56,,2026-09-01,6.250,930.73,246.42,2039-02-01,180,108550.00,2024-01-23,2024-01-23,2024-03-01,30_360,fixed,,,,,,,,Y,1078.44,5,15,0.00,0.00,Y,N,N,N,N,,Chloe Kim,000-14-1492,+18945553632,,en,,4599 Elm Dr,Sacramento,CA,95814,owner_occupied,Bank Custodian NA,certified,,Y,2027-02-20,N,,Y,N,Y,0.00,N,N,0.00,Y,0.00,0.00,Y,
TR-0000009,4100000063,100045600000000093,Y,A/A,562750.20,,2026-09-01,6.875,5749.78,1277.58,2038-08-01,180,644700.00,2023-07-21,2023-07-21,2023-09-01,30_360,fixed,,,,,,,,Y,5196.12,4,15,0.00,0.00,Y,N,N,N,N,,Grace Brown,000-86-9990,+16125557554,grace.brown9@example.test,en,,9768 Maple Ave,Orlando,FL,32801,owner_occupied,Bank Custodian NA,certified,,N,2027-01-17,N,,Y,N,Y,0.00,Y,N,0.00,Y,0.00,0.00,Y,
TR-0000010,4100000070,100045600000000101,Y,A/A,64269.00,,2026-09-01,5.000,1115.81,223.17,2032-02-01,180,141100.00,2017-01-21,2017-01-21,2017-03-01,30_360,fixed,,,,,,,,Y,737.10,4,15,0.00,0.00,Y,N,N,N,N,,Carlos Singh,000-23-1329,+13455559716,carlos.singh10@example.test,en,,9678 Sunset Blvd,Cincinnati,OH,45202,owner_occupied,Bank Custodian NA,certified,,Y,2027-07-24,N,,Y,N,Y,0.00,N,N,441.52,Y,0.00,0.00,Y,848.02
