transferor_loan_number,fnma_loan_number,upb_as_of_t_minus_1
TR-0000001,4100000007,330349.16
TR-0000002,4100000014,109866.89
TR-0000003,4100000021,603100.45
TR-0000004,4100000028,760471.25
TR-0000005,4100000035,509438.20
TR-0000006,4100000042,61879.87
TR-0000007,4100000049,446163.95
TR-0000008,4100000056,96292.58
TR-0000009,4100000063,560224.51
TR-0000010,4100000070,63420.98
TR-0000011,4100000077,192053.23
TR-0000012,4100000084,565890.14
TR-0000013,4100000091,329993.26
TR-0000014,4100000098,354705.40
TR-0000015,4100000105,253349.65
TR-0000016,4100000112,757149.31
TR-0000017,4100000119,155865.55
TR-0000018,4100000126,351308.80
TR-0000019,4100000133,243525.82
TR-0000020,4100000140,533574.70
TR-0000021,4100000147,126081.02
TR-0000022,4100000154,458951.30
TR-0000023,4100000161,303060.88
TR-0000024,4100000168,214841.91
TR-0000025,4100000175,255029.50
TR-0000026,4100000182,234985.54
TR-0000027,4100000189,558433.40
TR-0000028,4100000196,163425.08
TR-0000029,4100000203,260850.84
TR-0000030,4100000210,249270.34
TR-0000031,4100000217,380892.78
TR-0000032,4100000224,289601.89
TR-0000033,4100000231,287912.82
TR-0000034,4100000238,558407.76
TR-0000035,4100000245,579127.85
TR-0000036,4100000252,113565.84
TR-0000037,4100000259,424536.25
TR-0000038,4100000266,693674.45
TR-0000039,4100000273,630206.07
TR-0000040,4100000280,580948.31
TR-0000041,4100000287,349620.01
TR-0000042,4100000294,575166.27
TR-0000043,4100000301,263002.39
TR-0000044,4100000308,567444.99
TR-0000045,4100000315,392354.97
TR-0000046,4100000322,137965.23
TR-0000047,4100000329,441730.55
TR-0000048,4100000336,512371.82
TR-0000049,4100000343,352817.41
TR-0000050,4100000350,177767.42
TR-0000051,4100000357,473981.72
TR-0000052,4100000364,556980.59
TR-0000053,4100000371,267948.22
TR-0000054,4100000378,157948.29
TR-0000055,4100000385,635087.59
TR-0000056,4100000392,184348.09
TR-0000057,4100000399,589374.66
TR-0000058,4100000406,139102.53
TR-0000059,4100000413,390475.41
TR-0000060,4100000420,559573.08
TR-0000061,4100000427,286869.06
TR-0000062,4100000434,255976.92
TR-0000063,4100000441,455672.39
TR-0000064,4100000448,498776.71
TR-0000065,4100000455,58123.17
TR-0000066,4100000462,268152.08
TR-0000067,4100000469,192405.45
TR-0000068,4100000476,344607.05
TR-0000069,4100000483,97884.87
TR-0000070,4100000490,215147.74
TR-0000071,4100000497,488086.98
TR-0000072,4100000504,80754.72
TR-0000073,4100000511,547252.93
TR-0000074,4100000518,461321.32
TR-0000075,4100000525,486582.43
TR-0000076,4100000532,737374.02
TR-0000077,4100000539,308847.32
TR-0000078,4100000546,172290.45
TR-0000079,4100000553,346007.62
TR-0000080,4100000560,509545.27
TR-0000081,4100000567,725878.70
TR-0000082,4100000574,246378.15
TR-0000083,4100000581,603754.43
TR-0000084,4100000588,333187.24
TR-0000085,4100000595,549380.20
TR-0000086,4100000602,291381.34
TR-0000087,4100000609,179590.38
TR-0000088,4100000616,251371.67
TR-0000089,4100000623,462139.10
TR-0000090,4100000630,210000.83
TR-0000091,4100000637,391668.83
TR-0000092,4100000644,388223.33
TR-0000093,4100000651,489035.64
TR-0000094,4100000658,411260.10
TR-0000095,4100000665,549168.80
TR-0000096,4100000672,403116.28
TR-0000097,4100000679,477333.89
TR-0000098,4100000686,219623.22
TR-0000099,4100000693,515995.73
TR-0000100,4100000700,251648.51
